"country_name","cases","deaths","region","total_recovered","new_deaths","new_cases","serious_critical","active_cases","total_cases_per_1m_population"
"China","81,340","3,292","","74,588","5","55","1,034","3,460","57"
"USA","96,968","1,477","","2,453","182","11,533","2,463","93,038","293"
"Italy","86,498","9,134","","10,950","919","5,909","3,732","66,414","1,431"
"Spain","64,059","4,934","","9,357","569","6,273","4,165","49,768","1,370"
"Germany","50,178","321","","6,658","54","6,240","23","43,199","599"
"France","32,964","1,995","","5,700","299","3,809","3,787","25,269","505"
"Iran","32,332","2,378","","11,133","144","2,926","2,893","18,821","385"
"UK","14,543","759","","135","181","2,885","163","13,649","214"
"Switzerland","12,928","231","","1,530","39","1,117","203","11,167","1,494"
"S. Korea","9,332","139","","4,528","8","91","59","4,665","182"
"Netherlands","8,603","546","","3","112","1,172","761","8,054","502"
"Austria","7,642","58","","225","9","733","128","7,359","849"
"Belgium","7,284","289","","858","69","1,049","690","6,137","628"
"Turkey","5,698","92","","42","17","2,069","241","5,564","68"
"Canada","4,610","53","","228","14","567","120","4,329","122"
"Portugal","4,268","76","","43","16","724","71","4,149","419"
"Norway","3,717","19","","6","5","345","70","3,692","686"
"Australia","3,180","13","","170","0","130","23","2,997","125"
"Sweden","3,046","92","","16","15","206","214","2,938","302"
"Israel","3,035","12","","79","4","342","49","2,944","351"
"Brazil","3,027","77","","6","0","42","296","2,944","14"
"Czechia","2,279","9","","11","0","354","34","2,259","213"
"Malaysia","2,161","26","","259","3","130","54","1,876","67"
"Denmark","2,046","52","","1","11","169","109","1,993","353"
"Ireland","1,819","19","","5","0","0","47","1,795","368"
"Chile","1,610","5","","43","1","304","7","1,562","84"
"Luxembourg","1,605","15","","40","6","152","25","1,550","2,564"
"Ecuador","1,595","36","","3","2","192","58","1,556","90"
"Japan","1,387","47","","359","0","0","57","981","11"
"Poland","1,340","16","","7","0","119","3","1,317","35"
"Pakistan","1,331","9","","23","0","130","7","1,299","6"
"Romania","1,292","26","","115","3","263","32","1,151","67"
"South Africa","1,170","2","","12","2","243","7","1,156","20"
"Thailand","1,136","5","","97","1","91","11","1,034","16"
"Saudi Arabia","1,104","3","","35","0","92","6","1,066","32"
"Indonesia","1,046","87","","46","9","153","0","913","4"
"Finland","1,041","7","","10","2","83","32","1,024","188"
"Russia","1,036","3","","45","0","196","8","988","7"
"Greece","966","28","","52","1","74","66","886","93"
"Iceland","890","2","","97","0","88","18","791","2,608"
"India","887","20","","73","0","160","0","794","0.6"
"Philippines","803","54","","31","9","96","1","718","7"
"Singapore","732","2","","183","0","49","17","547","125"
"Diamond Princess","712","10","","597","0","0","15","105","0"
"Panama","674","9","","2","0","0","20","663","156"
"Peru","635","9","","14","0","55","14","612","19"
"Slovenia","632","9","","10","3","70","14","613","304"
"Argentina","589","13","","72","1","0","0","504","13"
"Croatia","586","3","","37","0","91","14","546","143"
"Mexico","585","8","","4","2","110","1","573","5"
"Dominican Republic","581","20","","3","10","93","0","558","54"
"Estonia","575","1","","11","0","37","7","563","433"
"Qatar","562","0","","43","0","13","6","519","195"
"Serbia","528","8","","42","1","71","25","478","60"
"Hong Kong","518","4","","111","0","64","5","403","69"
"Egypt","495","24","","102","0","0","0","369","5"
"Colombia","491","6","","8","0","0","0","477","10"
"Bahrain","466","4","","227","0","8","1","235","274"
"Iraq","458","40","","122","4","76","0","296","11"
"Algeria","409","26","","29","1","42","0","354","9"
"UAE","405","2","","52","0","72","2","351","41"
"Lebanon","391","8","","27","2","23","3","356","57"
"New Zealand","368","0","","37","0","0","1","331","76"
"Lithuania","358","5","","1","1","59","2","352","132"
"Morocco","333","21","","11","10","58","1","301","9"
"Armenia","329","1","","28","0","39","6","300","111"
"Hungary","300","10","","34","0","39","6","256","31"
"Bulgaria","293","3","","9","0","29","8","281","42"
"Latvia","280","0","","1","0","36","0","279","148"
"Slovakia","269","0","","2","0","43","1","267","49"
"Andorra","267","3","","1","0","43","11","263","3,456"
"Taiwan","267","2","","30","0","15","0","235","11"
"Uruguay","238","0","","0","0","0","3","238","69"
"Jordan","235","0","","16","0","23","0","219","23"
"Bosnia and Herzegovina","232","4","","5","1","41","1","223","71"
"Costa Rica","231","2","","2","0","0","5","227","45"
"Tunisia","227","6","","2","1","30","10","219","19"
"Ukraine","226","5","","5","0","30","0","216","5"
"Kuwait","225","0","","57","0","17","11","168","53"
"San Marino","223","21","","4","0","15","12","198","6,572"
"North Macedonia","219","3","","3","0","18","1","213","105"
"Moldova","199","2","","2","1","22","33","195","49"
"Albania","186","8","","31","2","12","3","147","65"
"Burkina Faso","180","9","","12","2","28","0","159","9"
"Azerbaijan","165","3","","15","0","43","6","147","16"
"Vietnam","163","0","","20","0","10","3","143","2"
"Cyprus","162","5","","4","2","16","3","153","134"
"Kazakhstan","150","1","","3","0","37","0","146","8"
