"id","country_name","total_cases","new_cases","active_cases","total_deaths","new_deaths","total_recovered","serious_critical","region","total_cases_per1m","record_date"
"434","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 21:00:05.485"
"599","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 21:10:02.648"
"764","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 21:20:01.595"
"929","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 21:30:02.658"
"1094","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 21:40:02.21"
"1259","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 21:50:02.457"
"1424","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 22:00:01.961"
"1589","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 22:10:02.191"
"1754","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 22:20:02.653"
"1919","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 22:30:01.9"
"2084","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 22:40:02.193"
"2249","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 22:50:02.592"
"2415","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 23:00:01.929"
"2581","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 23:10:01.687"
"2747","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 23:20:01.7"
"2913","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 23:30:02.403"
"3079","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 23:40:01.829"
"104","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 23:41:04.19"
"269","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 23:46:12.969"
"3245","New Zealand","12","4","12","","","","",,"2.5","2020-03-17 23:50:02.071"
"3411","New Zealand","12","4","12","","","","",,"2.5","2020-03-18 00:00:02.373"
"3577","New Zealand","12","4","12","","","","",,"2.5","2020-03-18 00:10:02.413"
"3737","New Zealand","20","12","20","","","","",,"4.1","2020-03-18 00:20:01.88"
"3903","New Zealand","20","12","20","","","","",,"4.1","2020-03-18 00:30:02.43"
"4069","New Zealand","20","12","20","","","","",,"4.1","2020-03-18 00:40:02.192"
"4235","New Zealand","20","12","20","","","","",,"4.1","2020-03-18 00:50:01.785"
"4401","New Zealand","20","12","20","","","","",,"4.1","2020-03-18 01:00:01.824"
"4567","New Zealand","20","12","20","","","","",,"4.1","2020-03-18 01:10:01.921"
"4733","New Zealand","20","12","20","","","","",,"4.1","2020-03-18 01:20:02.33"
"4899","New Zealand","20","12","20","","","","",,"4","2020-03-18 01:30:02.23"
"5065","New Zealand","20","12","20","","","","",,"4","2020-03-18 01:40:02.38"
"5231","New Zealand","20","12","20","","","","",,"4","2020-03-18 01:50:01.846"
"5397","New Zealand","20","12","20","","","","",,"4","2020-03-18 02:00:02.449"
"5563","New Zealand","20","12","20","","","","",,"4","2020-03-18 02:10:02.071"
"5729","New Zealand","20","12","20","","","","",,"4","2020-03-18 02:20:02.264"
"5895","New Zealand","20","12","20","","","","",,"4","2020-03-18 02:30:01.806"
"6061","New Zealand","20","12","20","","","","",,"4","2020-03-18 02:40:01.87"
"6227","New Zealand","20","12","20","","","","",,"4","2020-03-18 02:50:02.061"
"6393","New Zealand","20","12","20","","","","",,"4","2020-03-18 03:00:02.163"
"6559","New Zealand","20","12","20","","","","",,"4","2020-03-18 03:10:02.141"
"6725","New Zealand","20","12","20","","","","",,"4","2020-03-18 03:20:02.541"
"6891","New Zealand","20","12","20","","","","",,"4","2020-03-18 03:30:01.843"
"7057","New Zealand","20","12","20","","","","",,"4","2020-03-18 03:40:01.901"
"7223","New Zealand","20","12","20","","","","",,"4","2020-03-18 03:50:01.535"
"7389","New Zealand","20","","20","","","","",,"4","2020-03-18 04:00:01.973"
"7555","New Zealand","20","","20","","","","",,"4","2020-03-18 04:10:02.063"
"7721","New Zealand","20","","20","","","","",,"4","2020-03-18 04:20:02.054"
"7887","New Zealand","20","","20","","","","",,"4","2020-03-18 04:30:01.942"
"8053","New Zealand","20","","20","","","","",,"4","2020-03-18 04:40:02.622"
"8219","New Zealand","20","","20","","","","",,"4","2020-03-18 04:50:01.853"
"8386","New Zealand","20","","20","","","","",,"4","2020-03-18 05:00:02.105"
"8553","New Zealand","20","","20","","","","",,"4","2020-03-18 05:10:02.737"
"8720","New Zealand","20","","20","","","","",,"4","2020-03-18 05:20:01.762"
"8887","New Zealand","20","","20","","","","",,"4","2020-03-18 05:30:02.281"
"9054","New Zealand","20","","20","","","","",,"4","2020-03-18 05:40:02.414"
"9221","New Zealand","20","","20","","","","",,"4","2020-03-18 05:50:02.096"
"9388","New Zealand","20","","20","","","","",,"4","2020-03-18 06:00:02.099"
"9555","New Zealand","20","","20","","","","",,"4","2020-03-18 06:10:02.11"
"9722","New Zealand","20","","20","","","","",,"4","2020-03-18 06:20:02.107"
"9890","New Zealand","20","","20","","","","",,"4","2020-03-18 06:30:01.996"
"10058","New Zealand","20","","20","","","","",,"4","2020-03-18 06:40:01.745"
"10226","New Zealand","20","","20","","","","",,"4","2020-03-18 06:50:02.3"
"10394","New Zealand","20","","20","","","","",,"4","2020-03-18 07:00:01.873"
"10562","New Zealand","20","","20","","","","",,"4","2020-03-18 07:10:01.675"
"10730","New Zealand","20","","20","","","","",,"4","2020-03-18 07:20:02.02"
"10898","New Zealand","20","","20","","","","",,"4","2020-03-18 07:30:01.939"
"11066","New Zealand","20","","20","","","","",,"4","2020-03-18 07:40:02.53"
"11234","New Zealand","20","","20","","","","",,"4","2020-03-18 07:50:01.925"
"11403","New Zealand","20","","20","","","","",,"4","2020-03-18 08:00:01.888"
"11571","New Zealand","20","","20","","","","",,"4","2020-03-18 08:10:01.81"
"11739","New Zealand","20","","20","","","","",,"4","2020-03-18 08:20:01.91"
"11907","New Zealand","20","","20","","","","",,"4","2020-03-18 08:30:01.833"
"12075","New Zealand","20","","20","","","","",,"4","2020-03-18 08:40:01.635"
"12243","New Zealand","20","","20","","","","",,"4","2020-03-18 08:50:01.702"
"12411","New Zealand","20","","20","","","","",,"4","2020-03-18 09:00:02.437"
"12579","New Zealand","20","","20","","","","",,"4","2020-03-18 09:10:01.871"
