"id","country_name","total_cases","new_cases","active_cases","total_deaths","new_deaths","total_recovered","serious_critical","region","total_cases_per1m","record_date"
"340","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 21:00:05.485"
"505","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 21:10:02.648"
"670","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 21:20:01.595"
"835","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 21:30:02.658"
"1000","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 21:40:02.21"
"1165","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 21:50:02.457"
"1330","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 22:00:01.961"
"1495","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 22:10:02.191"
"1660","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 22:20:02.653"
"1825","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 22:30:01.9"
"1990","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 22:40:02.193"
"2155","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 22:50:02.592"
"2321","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 23:00:01.929"
"2487","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 23:10:01.687"
"2653","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 23:20:01.7"
"2819","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 23:30:02.403"
"2985","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 23:40:01.829"
"10","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 23:41:04.19"
"175","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 23:46:12.969"
"3151","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-17 23:50:02.071"
"3317","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-18 00:00:02.373"
"3483","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-18 00:10:02.413"
"3649","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-18 00:20:01.88"
"3815","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-18 00:30:02.43"
"3981","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-18 00:40:02.192"
"4147","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-18 00:50:01.785"
"4313","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-18 01:00:01.824"
"4479","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-18 01:10:01.921"
"4645","UK","1,950","407","1,814","71","16","65","20",,"28.7","2020-03-18 01:20:02.33"
"4811","UK","1,950","407","1,814","71","16","65","20",,"29","2020-03-18 01:30:02.23"
"4977","UK","1,950","407","1,814","71","16","65","20",,"29","2020-03-18 01:40:02.38"
"5143","UK","1,950","407","1,814","71","16","65","20",,"29","2020-03-18 01:50:01.846"
"5309","UK","1,950","407","1,814","71","16","65","20",,"29","2020-03-18 02:00:02.449"
"5475","UK","1,950","407","1,814","71","16","65","20",,"29","2020-03-18 02:10:02.071"
"5641","UK","1,950","407","1,814","71","16","65","20",,"29","2020-03-18 02:20:02.264"
"5807","UK","1,950","407","1,814","71","16","65","20",,"29","2020-03-18 02:30:01.806"
