"id","country_name","total_cases","new_cases","active_cases","total_deaths","new_deaths","total_recovered","serious_critical","region","total_cases_per1m","record_date"
"338","USA","6,056","1,393","5,881","101","15","74","12",,"18.3","2020-03-17 21:00:05.485"
"503","USA","6,084","1,421","5,909","101","15","74","12",,"18.4","2020-03-17 21:10:02.648"
"668","USA","6,137","1,474","5,961","102","16","74","12",,"18.5","2020-03-17 21:20:01.595"
"833","USA","6,159","1,496","5,983","102","16","74","12",,"18.6","2020-03-17 21:30:02.658"
"998","USA","6,176","1,513","6,000","102","16","74","12",,"18.7","2020-03-17 21:40:02.21"
"1163","USA","6,194","1,531","6,018","102","16","74","12",,"18.7","2020-03-17 21:50:02.457"
"1328","USA","6,211","1,548","6,035","102","16","74","12",,"18.8","2020-03-17 22:00:01.961"
"1493","USA","6,223","1,560","6,046","103","17","74","12",,"18.8","2020-03-17 22:10:02.191"
"1658","USA","6,223","1,560","6,046","103","17","74","12",,"18.8","2020-03-17 22:20:02.653"
"1823","USA","6,308","1,645","6,099","103","17","106","12",,"19.1","2020-03-17 22:30:01.9"
"1988","USA","6,340","1,677","6,128","106","20","106","12",,"19.2","2020-03-17 22:40:02.193"
"2153","USA","6,349","1,686","6,137","106","20","106","12",,"19.2","2020-03-17 22:50:02.592"
"2319","USA","6,431","1,768","6,218","107","21","106","12",,"19.4","2020-03-17 23:00:01.929"
"2485","USA","6,437","1,774","6,222","109","23","106","12",,"19.4","2020-03-17 23:10:01.687"
"2651","USA","6,439","1,776","6,224","109","23","106","12",,"19.5","2020-03-17 23:20:01.7"
"2817","USA","6,439","1,776","6,224","109","23","106","12",,"19.5","2020-03-17 23:30:02.403"
"2983","USA","6,439","1,776","6,224","109","23","106","12",,"19.5","2020-03-17 23:40:01.829"
"8","USA","6,052","1,389","5,877","101","15","74","12",,"18.3","2020-03-17 23:41:04.19"
"173","USA","6,052","1,389","5,877","101","15","74","12",,"18.3","2020-03-17 23:46:12.969"
"3149","USA","6,439","1,776","6,224","109","23","106","12",,"19.5","2020-03-17 23:50:02.071"
"3315","USA","6,439","1,776","6,224","109","23","106","12",,"19.5","2020-03-18 00:00:02.373"
"3481","USA","6,439","1,776","6,224","109","23","106","12",,"19.5","2020-03-18 00:10:02.413"
"3647","USA","6,439","1,776","6,224","109","23","106","12",,"19.5","2020-03-18 00:20:01.88"
"3813","USA","6,441","1,778","6,226","109","23","106","12",,"19.5","2020-03-18 00:30:02.43"
"3979","USA","6,441","1,778","6,226","109","23","106","12",,"19.5","2020-03-18 00:40:02.192"
"4145","USA","6,456","1,793","6,241","109","23","106","12",,"19.5","2020-03-18 00:50:01.785"
"4311","USA","6,456","1,793","6,241","109","23","106","12",,"19.5","2020-03-18 01:00:01.824"
"4477","USA","6,468","1,805","6,253","109","23","106","12",,"19.5","2020-03-18 01:10:01.921"
"4643","USA","6,468","1,805","6,253","109","23","106","12",,"19.5","2020-03-18 01:20:02.33"
"4809","USA","6,469","1,806","6,254","109","23","106","12",,"20","2020-03-18 01:30:02.23"
"4975","USA","6,469","1,806","6,254","109","23","106","12",,"20","2020-03-18 01:40:02.38"
"5141","USA","6,470","1,807","6,254","110","24","106","12",,"20","2020-03-18 01:50:01.846"
"5307","USA","6,482","1,819","6,265","111","25","106","12",,"20","2020-03-18 02:00:02.449"
"5473","USA","6,486","1,823","6,269","111","25","106","12",,"20","2020-03-18 02:10:02.071"
"5639","USA","6,488","1,825","6,270","112","26","106","12",,"20","2020-03-18 02:20:02.264"
"5805","USA","6,499","1,836","6,281","112","26","106","12",,"20","2020-03-18 02:30:01.806"
"5971","USA","6,499","1,836","6,281","112","26","106","12",,"20","2020-03-18 02:40:01.87"
"6137","USA","6,509","1,846","6,288","115","29","106","12",,"20","2020-03-18 02:50:02.061"
"6303","USA","6,509","1,846","6,288","115","29","106","12",,"20","2020-03-18 03:00:02.163"
"6469","USA","6,509","1,846","6,288","115","29","106","12",,"20","2020-03-18 03:10:02.141"
"6635","USA","6,509","1,846","6,288","115","29","106","12",,"20","2020-03-18 03:20:02.541"
"6801","USA","6,509","1,846","6,288","115","29","106","12",,"20","2020-03-18 03:30:01.843"
"6967","USA","6,509","1,846","6,288","115","29","106","12",,"20","2020-03-18 03:40:01.901"
"7133","USA","6,509","1,846","6,288","115","29","106","12",,"20","2020-03-18 03:50:01.535"
"7299","USA","6,509","98","6,288","115","6","106","12",,"20","2020-03-18 04:00:01.973"
"7465","USA","6,509","98","6,288","115","6","106","12",,"20","2020-03-18 04:10:02.063"
"7631","USA","6,509","98","6,288","115","6","106","12",,"20","2020-03-18 04:20:02.054"
"7797","USA","6,509","98","6,288","115","6","106","12",,"20","2020-03-18 04:30:01.942"
"7963","USA","6,513","102","6,292","115","6","106","12",,"20","2020-03-18 04:40:02.622"
"8129","USA","6,514","103","6,293","115","6","106","12",,"20","2020-03-18 04:50:01.853"
"8296","USA","6,515","104","6,294","115","6","106","12",,"20","2020-03-18 05:00:02.105"
"8463","USA","6,515","104","6,294","115","6","106","12",,"20","2020-03-18 05:10:02.737"
"8630","USA","6,515","104","6,294","115","6","106","12",,"20","2020-03-18 05:20:01.762"
"8797","USA","6,515","104","6,294","115","6","106","12",,"20","2020-03-18 05:30:02.281"
"8964","USA","6,515","104","6,294","115","6","106","12",,"20","2020-03-18 05:40:02.414"
"9131","USA","6,522","111","6,300","116","7","106","12",,"20","2020-03-18 05:50:02.096"
"9298","USA","6,522","111","6,300","116","7","106","12",,"20","2020-03-18 06:00:02.099"
"9465","USA","6,522","111","6,300","116","7","106","12",,"20","2020-03-18 06:10:02.11"
"9632","USA","6,522","111","6,300","116","7","106","12",,"20","2020-03-18 06:20:02.107"
"9800","USA","6,522","111","6,300","116","7","106","12",,"20","2020-03-18 06:30:01.996"
"9968","USA","6,522","111","6,300","116","7","106","12",,"20","2020-03-18 06:40:01.745"
"10136","USA","6,522","111","6,300","116","7","106","12",,"20","2020-03-18 06:50:02.3"
"10304","USA","6,522","111","6,300","116","7","106","12",,"20","2020-03-18 07:00:01.873"
"10472","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 07:10:01.675"
"10640","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 07:20:02.02"
"10808","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 07:30:01.939"
"10976","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 07:40:02.53"
"11144","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 07:50:01.925"
"11312","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 08:00:01.888"
"11480","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 08:10:01.81"
"11648","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 08:20:01.91"
"11816","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 08:30:01.833"
"11984","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 08:40:01.635"
"12152","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 08:50:01.702"
"12320","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 09:00:02.437"
"12488","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 09:10:01.871"
"12656","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 09:20:02.1"
"12824","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 09:30:01.766"
"12992","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 09:40:01.982"
"13160","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 09:50:02.091"
"13328","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 10:00:02.201"
"13496","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 10:10:01.929"
"13664","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 10:20:01.737"
"13832","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 10:30:01.787"
"14000","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 10:40:02.514"
"14168","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 10:50:02.178"
"14336","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 11:00:01.858"
"14504","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 11:10:02.103"
"14673","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 11:20:02.579"
"14842","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 11:30:01.883"
"15012","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 11:40:01.901"
"15182","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 11:50:01.898"
"15352","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 12:00:01.731"
"15522","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 12:10:02.508"
"15693","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 12:20:02.581"
"15864","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 12:30:02.207"
"16035","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 12:40:02.166"
"16206","USA","6,524","113","6,302","116","7","106","12",,"20","2020-03-18 12:50:02.197"
"16377","USA","6,533","122","6,311","116","7","106","12",,"20","2020-03-18 13:00:02.015"
"16548","USA","6,534","123","6,312","116","7","106","12",,"20","2020-03-18 13:10:02.487"
"16719","USA","6,535","124","6,313","116","7","106","12",,"20","2020-03-18 13:20:02.055"
"16890","USA","6,535","124","6,313","116","7","106","12",,"20","2020-03-18 13:30:01.884"
"17061","USA","6,535","124","6,313","116","7","106","12",,"20","2020-03-18 13:40:02.654"
"17232","USA","6,538","127","6,316","116","7","106","12",,"20","2020-03-18 13:50:01.74"
"17403","USA","7,301","890","7,079","116","7","106","12",,"22","2020-03-18 14:00:01.898"
"17574","USA","7,301","890","7,079","116","7","106","12",,"22","2020-03-18 14:10:01.803"
"17745","USA","7,301","890","7,079","116","7","106","12",,"22","2020-03-18 14:20:01.704"
"17916","USA","7,301","890","7,079","116","7","106","12",,"22","2020-03-18 14:30:01.661"
"18087","USA","7,339","928","7,117","116","7","106","12",,"22","2020-03-18 14:40:01.859"
"18258","USA","7,339","928","7,117","116","7","106","12",,"22","2020-03-18 14:50:02.648"
"18429","USA","7,339","928","7,117","116","7","106","12",,"22","2020-03-18 15:00:01.734"
"18600","USA","7,387","976","7,165","116","7","106","12",,"22","2020-03-18 15:10:02.605"
"18771","USA","7,387","976","7,165","116","7","106","12",,"22","2020-03-18 15:20:02.33"
"18942","USA","7,398","987","7,176","116","7","106","12",,"22","2020-03-18 15:30:02.342"
"19113","USA","7,398","987","7,176","116","7","106","12",,"22","2020-03-18 15:40:02.325"
"19284","USA","7,403","992","7,181","116","7","106","12",,"22","2020-03-18 15:50:02.093"
"19455","USA","7,411","1,000","7,189","116","7","106","12",,"22","2020-03-18 16:00:01.773"
"19626","USA","7,526","1,115","7,303","117","8","106","12",,"23","2020-03-18 16:10:02.43"
"19797","USA","7,538","1,127","7,315","117","8","106","12",,"23","2020-03-18 16:20:01.981"
"19968","USA","7,568","1,157","7,345","117","8","106","12",,"23","2020-03-18 16:30:02.48"
"20139","USA","8,020","1,609","7,789","125","16","106","12",,"24","2020-03-18 20:10:05.491"
"20312","USA","8,055","1,644","7,822","127","18","106","12",,"24","2020-03-18 20:20:01.974"
"20485","USA","8,055","1,644","7,822","127","18","106","12",,"24","2020-03-18 20:30:01.921"
"20658","USA","8,055","1,644","7,822","127","18","106","12",,"24","2020-03-18 20:40:02.045"
"20831","USA","8,304","1,893","8,065","133","24","106","12",,"25","2020-03-18 20:50:02.306"
"21004","USA","8,304","1,893","8,065","133","24","106","12",,"25","2020-03-18 21:00:01.801"
"21177","USA","8,335","1,924","8,094","135","26","106","12",,"25","2020-03-18 21:10:01.875"
"21350","USA","8,335","1,924","8,094","135","26","106","12",,"25","2020-03-18 21:20:02.028"
"21523","USA","8,335","1,924","8,094","135","26","106","12",,"25","2020-03-18 21:30:01.998"
"21695","USA","8,442","2,031","8,187","149","40","106","12",,"26","2020-03-18 21:40:01.962"
"21869","USA","8,442","2,031","8,187","149","40","106","12",,"26","2020-03-18 21:50:01.827"
"22043","USA","8,990","2,579","8,734","150","41","106","64",,"27","2020-03-18 22:00:01.68"
"22217","USA","8,993","2,582","8,737","150","41","106","64",,"27","2020-03-18 22:10:02.007"
"22391","USA","8,998","2,587","8,742","150","41","106","64",,"27","2020-03-18 22:20:02.478"
"22565","USA","9,014","2,603","8,758","150","41","106","64",,"27","2020-03-18 22:30:02.006"
"22738","USA","9,139","2,728","8,883","150","41","106","64",,"28","2020-03-18 22:40:01.869"
"22912","USA","9,197","2,786","8,941","150","41","106","64",,"28","2020-03-18 22:50:02.524"
"23086","USA","9,225","2,814","8,969","150","41","106","64",,"28","2020-03-18 23:00:02.332"
"23260","USA","9,235","2,824","8,979","150","41","106","64",,"28","2020-03-18 23:10:02.4"
"23434","USA","9,236","2,825","8,980","150","41","106","64",,"28","2020-03-18 23:20:02.733"
"23608","USA","9,238","2,827","8,982","150","41","106","64",,"28","2020-03-18 23:30:01.687"
"23782","USA","9,257","2,846","9,001","150","41","106","64",,"28","2020-03-18 23:40:02.284"
"23956","USA","9,257","2,846","9,001","150","41","106","64",,"28","2020-03-18 23:50:01.994"
"24130","USA","9,261","2,850","9,005","150","41","106","64",,"28","2020-03-19 00:10:02.327"
"24304","USA","9,269","2,858","9,012","151","42","106","64",,"28","2020-03-19 00:30:02.228"
"24478","USA","9,269","2,858","9,012","151","42","106","64",,"28","2020-03-19 00:40:02.256"
"24652","USA","9,269","2,858","9,012","151","42","106","64",,"28","2020-03-19 00:50:01.758"
"24826","USA","9,269","2,858","9,009","152","43","108","64",,"28","2020-03-19 01:00:01.795"
"25000","USA","9,269","2,858","9,009","152","43","108","64",,"28","2020-03-19 01:10:02.471"
"25174","USA","9,301","2,890","9,041","152","43","108","64",,"28","2020-03-19 01:20:02.364"
"25348","USA","9,301","2,890","9,041","152","43","108","64",,"28","2020-03-19 01:30:02.307"
"25522","USA","9,345","2,934","9,084","153","44","108","64",,"28","2020-03-19 01:40:02.155"
"25696","USA","9,360","2,949","9,099","153","44","108","64",,"28","2020-03-19 01:50:02.302"
"25870","USA","9,364","2,953","9,103","153","44","108","64",,"28","2020-03-19 02:00:02.536"
"26044","USA","9,365","2,954","9,104","153","44","108","64",,"28","2020-03-19 02:10:01.709"
"26218","USA","9,371","2,960","9,110","153","44","108","64",,"28","2020-03-19 02:20:01.832"
